iter	Passed	Remaining
0	3	3575
1	6	3057
2	8	2840
3	11	2827
4	14	2788
5	16	2755
6	19	2815
7	22	2774
8	25	2759
9	27	2742
10	30	2727
11	32	2700
12	35	2679
13	38	2677
14	40	2684
15	43	2674
16	46	2673
17	48	2671
18	51	2665
19	54	2668
20	57	2670
21	60	2674
22	63	2679
23	65	2671
24	68	2671
25	71	2678
26	74	2669
27	76	2672
28	79	2677
29	82	2666
30	85	2675
31	88	2667
32	90	2664
33	93	2665
34	96	2657
35	98	2645
36	101	2641
37	104	2636
38	106	2625
39	109	2618
40	111	2610
41	114	2605
42	116	2598
43	119	2592
44	121	2586
45	124	2579
46	126	2573
47	129	2565
48	131	2556
49	134	2555
50	136	2548
51	139	2545
52	143	2558
53	145	2554
54	148	2547
55	151	2548
56	153	2542
57	156	2539
58	158	2534
59	161	2528
60	164	2531
61	166	2525
62	170	2532
63	172	2526
64	175	2523
65	178	2522
66	180	2516
67	183	2512
68	185	2507
69	188	2503
70	191	2504
71	194	2502
72	197	2501
73	199	2497
74	202	2494
75	204	2492
76	207	2488
77	210	2486
78	213	2486
79	215	2481
80	218	2479
81	221	2482
82	224	2477
83	226	2475
84	229	2471
85	232	2466
86	234	2463
87	237	2459
88	239	2455
89	242	2454
90	245	2449
91	247	2443
92	250	2441
93	252	2436
94	255	2434
95	258	2431
96	260	2428
97	263	2426
98	266	2423
99	269	2425
100	272	2421
101	275	2423
102	278	2421
103	280	2418
104	284	2420
105	286	2416
106	289	2412
107	291	2410
108	294	2406
109	296	2402
110	299	2399
111	302	2395
112	304	2392
113	307	2389
114	309	2385
115	312	2384
116	315	2381
117	318	2377
118	320	2373
119	324	2376
120	326	2374
121	330	2376
122	333	2375
123	335	2372
124	338	2372
125	341	2371
126	344	2369
127	347	2365
128	349	2363
129	352	2360
130	355	2357
131	358	2356
132	361	2355
133	364	2353
134	367	2352
135	370	2353
136	373	2352
137	376	2352
138	379	2352
139	383	2354
140	386	2352
141	388	2349
142	391	2346
143	394	2345
144	397	2341
145	399	2338
146	402	2336
147	405	2333
148	408	2330
149	410	2327
150	413	2323
151	415	2319
152	418	2316
153	421	2316
154	424	2315
155	427	2313
156	430	2313
157	433	2312
158	437	2311
159	439	2309
160	442	2307
161	446	2309
162	449	2307
163	452	2304
164	454	2300
165	458	2301
166	460	2298
167	463	2294
168	466	2292
169	468	2288
170	471	2284
171	474	2282
172	477	2282
173	479	2278
174	482	2275
175	485	2273
176	488	2269
177	490	2266
178	494	2266
179	496	2262
180	499	2259
181	501	2255
182	504	2252
183	507	2250
184	510	2247
185	512	2243
186	515	2239
187	517	2236
188	520	2231
189	522	2228
190	525	2224
191	528	2223
192	531	2220
193	533	2217
194	536	2214
195	540	2215
196	542	2211
197	545	2208
198	548	2206
199	550	2202
200	553	2200
201	556	2197
202	558	2194
203	561	2190
204	564	2187
205	566	2184
206	569	2181
207	572	2178
208	574	2175
209	577	2172
